name,year,race,hair,pubichair,dead
Ester Cordet,1974,White,Brown,No,FALSE
Bebe Buell,1974,White,Blonde,Yes,FALSE
Janice Raymond,1974,White,Brown,Yes,FALSE
Lynnda Kimball,1975,White,Blonde,Yes,FALSE
Laura Misch,1975,White,Brown,Yes,FALSE
Ingeborg Sorensen,1975,White,Blonde,No,FALSE
Victoria Cunningham,1975,White,Brown,No,FALSE
Bridgett Rollins,1975,White,Brown,Yes,TRUE
Azizi Johari,1975,White,Black,No,FALSE
Lynn Schiller,1975,White,Blonde,No,FALSE
Lillian Müller,1975,White,Blonde,Yes,FALSE
Mesina Miller,1975,White,Brown,Yes,FALSE
Jill De Vries,1975,White,Blonde,Yes,FALSE
Janet Lupo,1975,White,Red,Yes,FALSE
Nanci Li Brandi,1975,White,Brown,Yes,FALSE
Daina House,1976,White,Blonde,Yes,FALSE
Laura Lyons,1976,White,Black,Yes,FALSE
Ann Pennington,1976,White,Blonde,Yes,FALSE
Denise Michele,1976,Asian,Black,Yes,FALSE
Patricia Margot McClain,1976,White,Blonde,Yes,FALSE
Debra Peterson,1976,White,Blonde,Yes,FALSE
Deborah Borkman,1976,White,Blonde,Yes,FALSE
Linda Beatty,1976,White,Brown,Yes,FALSE
Whitney Kaine,1976,White,Blonde,No,FALSE
Hope Olson,1976,White,Blonde,Yes,FALSE
Patti McGuire,1976,White,Brown,Yes,FALSE
Karen Hafter,1976,White,Black,Yes,FALSE
Susan Lynn Kiger,1977,White,Blonde,NULL,FALSE
Star Stowe,1977,White,Blonde,Yes,TRUE
Nicki Thomas,1977,White,Brown,NULL,TRUE
Lisa Sohm,1977,White,Brown,Yes,FALSE
Sheila Mullen,1977,White,Blonde,Yes,FALSE
Virve Reid,1977,White,Red,Yes,FALSE
Sondra Theodore,1977,White,Blonde,NULL,FALSE
Julia Lyndon,1977,White,Brown,Yes,FALSE
Debra Jo Fondren,1977,White,Blonde,Yes,FALSE
Kristine Winder,1977,White,Brown,Yes,TRUE
Rita Lee,1977,White,Blonde,Yes,FALSE
Ashley Cox,1977,White,Blonde,Yes,FALSE
Debra Jensen,1978,White,Blonde,Yes,FALSE
Janis Schmitt,1978,White,Blonde,Yes,FALSE
Christina Smith,1978,White,Brown,No,FALSE
Pamela Jean Bryant,1978,White,Blonde,Yes,TRUE
Kathryn Morrison,1978,White,Blonde,Yes,FALSE
Gail Stanton,1978,White,Brown,NULL,TRUE
Karen Morton,1978,White,Blonde,NULL,TRUE
Vicki Witt,1978,White,Brown,NULL,FALSE
Rosanne Katon,1978,Black,Black,Yes,FALSE
Marcy Hanson,1978,White,Blonde,Yes,FALSE
Monique St. Pierre,1978,White,Blonde,Yes,FALSE
Janet Quist,1978,White,Blonde,Yes,FALSE
Candy Loving,1979,White,Brown,Yes,FALSE
Lee Ann Michelle,1979,White,Brown,Yes,FALSE
Denise McConnell,1979,White,Brown,NULL,FALSE
Missy Cleveland,1979,White,Blonde,Yes,TRUE
Michele Drake,1979,White,Blonde,Yes,FALSE
Louann Fernald,1979,White,Brown,Yes,FALSE
Dorothy Mays,1979,White,Blonde,NULL,FALSE
Dorothy Stratten,1979,White,Blonde,Yes,TRUE
Vicki McCarty,1979,White,Brown,Yes,FALSE
Ursula Buchfeller,1979,White,Blonde,Yes,FALSE
Sylvie Garant,1979,White,Brown,Yes,FALSE
Candace Collins,1979,White,Brown,Yes,FALSE
Gig Gangel,1980,White,Blonde,Yes,FALSE
Sandy Cagle,1980,White,Blonde,Yes,FALSE
Henriette Allais,1980,White,Brown,Yes,FALSE
Liz Glazowski,1980,White,Brown,Yes,FALSE
Martha Thomen,1980,White,Blonde,Yes,FALSE
Ola Ray,1980,Black,Black,Yes,FALSE
Teri Peterson,1980,White,Blonde,NULL,FALSE
Victoria Cooke,1980,White,Blonde,Yes,FALSE
Lisa Welch,1980,White,Blonde,Yes,FALSE
Mardi Jacquet,1980,White,Blonde,Yes,FALSE
Jeana Tomasino,1980,White,Brown,Yes,FALSE
Terri Welles,1980,White,Blonde,Yes,FALSE
Karen Price,1981,White,Blonde,Yes,FALSE
Vicki Lynn Lasseter,1981,White,Brown,NULL,FALSE
Kimberly Herrin,1981,White,Blonde,Yes,FALSE
Lorraine Michaels,1981,White,Black,Yes,FALSE
Gina Goldberg,1981,White,Blonde,NULL,FALSE
Cathy Larmouth,1981,White,Brown,Yes,TRUE
Heidi Sorenson,1981,White,Blonde,Yes,FALSE
Debbie Boostroom,1981,White,Brown,Yes,TRUE
Susan Smith,1981,White,Blonde,Yes,FALSE
Kelly Tough,1981,White,Brown,Yes,FALSE
Shannon Tweed,1981,White,Blonde,Yes,FALSE
Patricia Farinelli,1981,White,Brown,Yes,FALSE
Kimberly McArthur,1981,White,Blonde,No,FALSE
Anne-Marie Fox,1982,Black,Black,No,FALSE
Karen Witter,1982,White,Blonde,Yes,FALSE
Linda Rhys Vaughn,1982,White,Blonde,Yes,FALSE
Kym Malin,1982,White,Blonde,Yes,FALSE
Lourdes Estore,1982,Black,Black,Yes,FALSE
Lynda Wiesmeier,1982,White,Blonde,Yes,TRUE
Cathy St. George,1982,White,Blonde,Yes,FALSE
Connie Brighton,1982,White,Blonde,Yes,FALSE
Marianne Gravatte,1982,White,Blonde,Yes,FALSE
Marlene Janssen,1982,White,Blonde,Yes,FALSE
Charlotte Kemp,1982,White,Brown,Yes,FALSE
Lonny Chin,1983,Asian,Brown,Yes,FALSE
Melinda Mays,1983,White,Blonde,NULL,FALSE
Alana Soares,1983,White,Brown,NULL,FALSE
Christina Ferguson,1983,White,Blonde,Yes,FALSE
Susie Scott Krabacher,1983,White,Blonde,Yes,FALSE
Jolanda Egger,1983,White,Brown,Yes,FALSE
Ruth Guerri,1983,White,Blonde,Yes,FALSE
Carina Persson,1983,White,Brown,Yes,FALSE
Barbara Edwards,1983,White,Brown,Yes,FALSE
Tracy Vaccaro,1983,White,Blonde,Yes,FALSE
Veronica Gamba,1983,Latina,Black,Yes,FALSE
Terry Nihen,1983,White,Brown,Yes,FALSE
Penny Baker,1984,White,Blonde,Yes,FALSE
Justine Greiner,1984,White,Brown,Yes,FALSE
Dona Speir,1984,White,Blonde,No,FALSE
Lesa Ann Pedriana,1984,White,Blonde,Yes,FALSE
Patty Duffek,1984,White,Brown,Yes,FALSE
Tricia Lange,1984,White,Blonde,Yes,FALSE
Liz Stewart,1984,Black,Brown,Yes,FALSE
Suzi Schott,1984,White,Brown,Yes,FALSE
Kimberly Evenson,1984,White,Blonde,Yes,FALSE
Debi Johnson,1984,White,Brown,Yes,FALSE
Roberta Vasquez,1984,Latina,Black,Yes,FALSE
Karen Velez,1984,Latina,Black,Yes,FALSE
Joan Bennett,1985,White,Blonde,Yes,FALSE
Cherie Witter,1985,White,Brown,Yes,FALSE
Donna Smith,1985,White,Blonde,NULL,FALSE
Cindy Brooks,1985,White,Blonde,Yes,FALSE
Kathy Shower,1985,White,Blonde,Yes,FALSE
Devin DeVasquez,1985,White,Brown,Yes,FALSE
Hope Marie Carlton,1985,White,Blonde,Yes,FALSE
